order_id,product_id,distance_km,delivery_time_hours,traffic_level,weather_condition,season
1113,488,66,127,heavy,cloudy,Spring
1114,838,53,64,light,rainy,Fall
1115,300,55,88,heavy,clear,Summer
1116,270,41,74,moderate,rainy,Winter
1117,559,63,76,light,rainy,Winter
1118,392,22,26,moderate,clear,Fall
1119,26,17,33,heavy,cloudy,Winter
1120,257,91,218,moderate,stormy,Winter
1121,936,19,23,light,rainy,Fall
1122,209,34,54,heavy,clear,Summer
1123,456,37,30,light,clear,Fall
1124,438,45,108,heavy,rainy,Spring
1125,136,66,95,moderate,cloudy,Summer
1126,901,11,18,heavy,clear,Winter
1127,216,100,120,light,rainy,Fall
1128,279,68,82,moderate,clear,Fall
1129,235,69,110,light,stormy,Fall
1130,838,45,86,heavy,cloudy,Winter
1131,357,10,18,moderate,rainy,Winter
1132,554,98,235,moderate,stormy,Winter
1133,497,56,108,heavy,cloudy,Fall
1134,354,57,109,heavy,cloudy,Summer
1135,617,81,194,moderate,stormy,Fall
1136,133,6,5,light,clear,Summer
1137,131,17,31,moderate,rainy,Winter
1138,353,63,113,moderate,rainy,Spring
1139,141,49,39,light,clear,Summer
1140,105,88,106,moderate,clear,Summer
1141,407,78,62,light,clear,Fall
1142,830,38,55,moderate,cloudy,Summer
1143,352,46,110,moderate,stormy,Fall
1144,639,92,132,moderate,cloudy,Spring
1145,223,66,158,moderate,stormy,Summer
1146,70,55,44,light,clear,Winter
1147,399,15,24,heavy,clear,Fall
1148,603,86,83,light,cloudy,Winter
1149,76,49,59,light,rainy,Fall
1150,735,78,125,light,stormy,Fall
1151,890,65,208,heavy,stormy,Summer
1152,993,5,8,heavy,clear,Summer
1153,622,87,209,moderate,stormy,Winter
1154,840,69,124,moderate,rainy,Fall
1155,816,79,152,heavy,cloudy,Spring
1156,725,11,26,moderate,stormy,Winter
1157,598,80,115,moderate,cloudy,Summer
1158,125,48,154,heavy,stormy,Fall
1159,76,89,128,moderate,cloudy,Summer
1160,530,46,66,moderate,cloudy,Fall
1161,422,23,33,moderate,cloudy,Spring
1162,503,74,59,light,clear,Fall
1163,130,89,214,moderate,stormy,Winter
1164,542,81,146,moderate,rainy,Spring
1165,871,94,113,moderate,clear,Winter
1166,906,46,74,light,stormy,Winter
1167,134,47,45,light,cloudy,Winter
1168,282,56,134,heavy,rainy,Summer
1169,932,41,59,moderate,cloudy,Summer
1170,43,64,123,heavy,cloudy,Winter
1171,687,63,151,moderate,stormy,Winter
1172,472,57,91,heavy,clear,Winter
1173,911,49,71,moderate,cloudy,Spring
1174,491,96,115,moderate,clear,Spring
1175,466,34,65,heavy,cloudy,Fall
1176,345,81,156,heavy,cloudy,Spring
1177,42,59,142,moderate,stormy,Spring
1178,109,31,37,moderate,clear,Winter
1179,496,33,63,heavy,cloudy,Spring
1180,74,42,67,heavy,clear,Winter
1181,186,47,45,light,cloudy,Summer
1182,276,15,36,heavy,rainy,Winter
1183,29,28,34,light,rainy,Summer
1184,94,67,96,moderate,cloudy,Winter
1185,507,19,15,light,clear,Winter
1186,320,85,122,moderate,cloudy,Fall
1187,652,13,21,heavy,clear,Summer
1188,864,54,173,heavy,stormy,Spring
1189,910,47,38,light,clear,Summer
1190,340,21,38,moderate,rainy,Spring
1191,944,75,240,heavy,stormy,Spring
1192,812,67,80,moderate,clear,Fall
1193,345,85,153,moderate,rainy,Spring
1194,327,81,97,light,rainy,Summer
1195,810,77,111,moderate,cloudy,Winter
1196,169,16,26,light,stormy,Spring
1197,410,61,59,light,cloudy,Spring
1198,408,88,282,heavy,stormy,Fall
1199,264,95,76,light,clear,Winter
1200,64,55,66,light,rainy,Spring
1201,856,35,67,heavy,cloudy,Spring
1202,858,42,50,moderate,clear,Fall
1203,852,73,175,moderate,stormy,Fall
1204,844,63,101,heavy,clear,Fall
1205,905,18,17,light,cloudy,Spring
1206,163,36,52,moderate,cloudy,Fall
1207,619,98,157,heavy,clear,Winter
1208,259,39,31,light,clear,Winter
1209,795,34,49,moderate,cloudy,Winter
1210,454,68,54,light,clear,Spring
1211,646,41,98,moderate,stormy,Summer
1212,899,24,43,moderate,rainy,Summer
1213,120,54,104,heavy,cloudy,Winter
1214,273,76,146,heavy,cloudy,Summer
1215,613,76,182,moderate,stormy,Spring
1216,312,76,146,heavy,cloudy,Fall
1217,576,46,110,moderate,stormy,Spring
1218,56,12,14,light,rainy,Spring
1219,77,10,10,light,cloudy,Summer
1220,849,9,7,light,clear,Fall
1221,439,65,78,moderate,clear,Spring
1222,715,43,52,moderate,clear,Winter
1223,527,47,150,heavy,stormy,Summer
1224,912,43,103,heavy,rainy,Winter
1225,468,12,22,moderate,rainy,Winter
1226,652,11,13,moderate,clear,Winter
1227,982,52,62,moderate,clear,Summer
1228,401,61,98,light,stormy,Summer
1229,312,98,314,heavy,stormy,Summer
1230,117,77,148,heavy,cloudy,Winter
1231,484,60,48,light,clear,Summer
1232,163,52,100,heavy,cloudy,Fall
1233,519,53,76,moderate,cloudy,Fall
1234,914,57,137,moderate,stormy,Spring
1235,351,42,81,heavy,cloudy,Winter
1236,29,47,113,moderate,stormy,Fall
1237,340,85,153,moderate,rainy,Winter
1238,383,75,240,heavy,stormy,Spring
1239,813,101,162,light,stormy,Fall
1240,136,75,90,light,rainy,Winter
1241,124,39,62,light,stormy,Spring
1242,436,25,24,light,cloudy,Summer
1243,752,99,178,moderate,rainy,Summer
1244,741,81,194,moderate,stormy,Summer
1245,179,102,326,heavy,stormy,Winter
1246,59,21,34,light,stormy,Spring
1247,416,21,50,heavy,rainy,Winter
1248,612,50,160,heavy,stormy,Winter
1249,581,52,166,heavy,stormy,Winter
1250,350,28,27,light,cloudy,Fall
1251,216,95,152,light,stormy,Summer
1252,765,98,157,light,stormy,Fall
1253,838,54,52,light,cloudy,Summer
1254,138,94,113,moderate,clear,Spring
1255,751,103,99,light,cloudy,Winter
1256,431,13,21,heavy,clear,Fall
1257,825,26,47,moderate,rainy,Fall
1258,595,36,43,moderate,clear,Winter
1259,71,9,7,light,clear,Spring
1260,588,74,142,heavy,cloudy,Spring
1261,4,95,76,light,clear,Winter
1262,721,85,102,light,rainy,Winter
1263,711,21,40,heavy,cloudy,Spring
1264,518,68,122,moderate,rainy,Winter
1265,835,27,32,moderate,clear,Summer
1266,673,17,27,light,stormy,Fall
1267,642,99,119,light,rainy,Summer
1268,91,59,113,heavy,cloudy,Summer
1269,401,56,45,light,clear,Winter
1270,767,96,230,heavy,rainy,Summer
1271,503,5,4,light,clear,Fall
1272,713,45,72,light,stormy,Summer
1273,734,21,25,light,rainy,Fall
1274,692,46,37,light,clear,Winter
1275,258,94,113,light,rainy,Winter
1276,702,86,103,light,rainy,Winter
1277,98,57,68,light,rainy,Spring
1278,243,33,79,heavy,rainy,Summer
1279,104,8,15,heavy,cloudy,Summer
1280,674,42,50,light,rainy,Spring
1281,14,5,6,moderate,clear,Winter
1282,117,11,13,light,rainy,Winter
1283,402,31,37,moderate,clear,Summer
1284,128,55,88,light,stormy,Winter
1285,442,77,246,heavy,stormy,Fall
1286,743,42,40,light,cloudy,Summer
1287,906,48,154,heavy,stormy,Summer
1288,849,54,78,moderate,cloudy,Winter
1289,932,8,13,heavy,clear,Fall
1290,768,26,42,light,stormy,Winter
1291,547,34,61,moderate,rainy,Winter
1292,404,66,158,heavy,rainy,Fall
1293,776,66,106,light,stormy,Fall
1294,931,72,86,moderate,clear,Spring
1295,142,7,13,moderate,rainy,Summer
1296,496,88,169,heavy,cloudy,Spring
1297,173,76,137,moderate,rainy,Fall
1298,932,75,108,moderate,cloudy,Spring
1299,588,5,12,heavy,rainy,Fall
1300,882,69,83,light,rainy,Spring
1301,450,81,156,heavy,cloudy,Winter
1302,202,76,73,light,cloudy,Spring
1303,308,24,29,light,rainy,Summer
1304,273,11,9,light,clear,Spring
1305,887,99,119,light,rainy,Winter
1306,518,25,40,heavy,clear,Winter
1307,818,59,71,moderate,clear,Summer
1308,513,70,168,heavy,rainy,Summer
1309,629,7,6,light,clear,Winter
1310,794,92,294,heavy,stormy,Summer
1311,504,66,79,light,rainy,Fall
1312,296,27,65,moderate,stormy,Fall
1313,146,73,70,light,cloudy,Spring
1314,912,22,53,moderate,stormy,Winter
1315,659,5,8,heavy,clear,Summer
1316,833,44,63,moderate,cloudy,Winter
1317,911,89,142,light,stormy,Winter
1318,606,86,155,moderate,rainy,Spring
1319,565,98,235,moderate,stormy,Fall
1320,189,39,56,moderate,cloudy,Spring
1321,226,51,98,heavy,cloudy,Spring
1322,175,52,166,heavy,stormy,Winter
1323,96,26,62,heavy,rainy,Fall
1324,165,88,70,light,clear,Winter
1325,533,97,155,heavy,clear,Winter
1326,852,28,45,light,stormy,Winter
1327,316,92,110,light,rainy,Winter
1328,64,18,32,moderate,rainy,Summer
1329,850,69,55,light,clear,Winter
1330,792,23,28,light,rainy,Winter
1331,246,8,10,light,rainy,Spring
1332,530,98,157,light,stormy,Summer
1333,889,61,146,heavy,rainy,Summer
1334,953,58,70,moderate,clear,Fall
1335,369,104,83,light,clear,Spring
1336,411,44,106,heavy,rainy,Winter
1337,647,95,76,light,clear,Spring
1338,193,102,98,light,cloudy,Spring
1339,934,80,96,moderate,clear,Summer
1340,492,62,119,heavy,cloudy,Winter
1341,102,37,59,light,stormy,Fall
1342,741,22,42,heavy,cloudy,Summer
1343,447,93,149,light,stormy,Summer
1344,860,56,54,light,cloudy,Winter
1345,127,67,161,moderate,stormy,Fall
1346,185,11,35,heavy,stormy,Fall
1347,454,94,150,light,stormy,Summer
1348,229,45,54,moderate,clear,Spring
1349,331,59,47,light,clear,Winter
1350,416,93,167,moderate,rainy,Fall
1351,635,58,56,light,cloudy,Summer
1352,920,53,85,light,stormy,Summer
1353,65,51,61,light,rainy,Spring
1354,158,10,24,heavy,rainy,Fall
1355,667,103,124,moderate,clear,Fall
1356,981,38,46,light,rainy,Winter
1357,325,50,40,light,clear,Winter
1358,815,33,48,moderate,cloudy,Spring
1359,756,62,74,moderate,clear,Summer
1360,748,51,82,light,stormy,Summer
1361,433,21,38,moderate,rainy,Summer
1362,422,76,73,light,cloudy,Fall
1363,600,12,14,light,rainy,Winter
1364,867,21,40,heavy,cloudy,Fall
1365,308,58,104,moderate,rainy,Fall
1366,397,37,53,moderate,cloudy,Winter
1367,232,22,26,moderate,clear,Fall
1368,264,31,30,light,cloudy,Summer
1369,397,24,38,light,stormy,Summer
1370,507,66,79,moderate,clear,Winter
1371,224,11,18,light,stormy,Fall
1372,623,6,19,heavy,stormy,Summer
1373,377,49,88,moderate,rainy,Spring
1374,843,8,26,heavy,stormy,Spring
1375,350,100,192,heavy,cloudy,Spring
1376,13,35,84,heavy,rainy,Spring
1377,748,42,50,light,rainy,Fall
1378,512,26,42,light,stormy,Fall
1379,928,70,67,light,cloudy,Fall
1380,650,39,94,heavy,rainy,Fall
1381,969,93,223,moderate,stormy,Spring
1382,419,23,74,heavy,stormy,Summer
1383,292,5,8,heavy,clear,Spring
1384,430,13,12,light,cloudy,Fall
1385,552,81,78,light,cloudy,Winter
1386,34,46,55,moderate,clear,Spring
1387,436,20,16,light,clear,Winter
1388,828,64,77,light,rainy,Fall
1389,802,21,25,moderate,clear,Summer
1390,526,45,72,light,stormy,Summer
1391,526,54,104,heavy,cloudy,Summer
1392,47,33,63,heavy,cloudy,Summer
1393,392,104,187,moderate,rainy,Winter
1394,764,33,59,moderate,rainy,Summer
1395,211,89,107,moderate,clear,Winter
1396,615,72,173,moderate,stormy,Fall
1397,340,43,52,moderate,clear,Summer
1398,728,14,25,moderate,rainy,Winter
1399,121,102,245,moderate,stormy,Spring
1400,337,76,182,moderate,stormy,Winter
1401,967,67,107,heavy,clear,Spring
1402,905,97,78,light,clear,Winter
1403,126,16,26,light,stormy,Fall
1404,717,32,38,moderate,clear,Summer
1405,481,21,30,moderate,cloudy,Summer
1406,843,5,8,light,stormy,Winter
1407,739,55,132,heavy,rainy,Fall
1408,315,14,13,light,cloudy,Summer
1409,253,94,180,heavy,cloudy,Summer
1410,667,19,30,light,stormy,Summer
1411,752,98,176,moderate,rainy,Fall
1412,302,101,242,moderate,stormy,Fall
1413,161,50,80,heavy,clear,Summer
1414,667,52,62,light,rainy,Winter
1415,150,12,29,heavy,rainy,Winter
1416,64,67,121,moderate,rainy,Summer
1417,780,98,94,light,cloudy,Fall
1418,18,79,114,moderate,cloudy,Summer
1419,746,71,170,moderate,stormy,Spring
1420,590,29,93,heavy,stormy,Winter
1421,248,28,34,light,rainy,Fall
1422,604,97,116,light,rainy,Summer
1423,880,41,98,moderate,stormy,Fall
1424,904,60,108,moderate,rainy,Spring
1425,104,60,96,light,stormy,Winter
1426,744,90,144,light,stormy,Summer
1427,50,53,127,moderate,stormy,Summer
1428,380,82,131,heavy,clear,Summer
1429,828,21,40,heavy,cloudy,Summer
1430,98,54,86,heavy,clear,Fall
1431,75,31,25,light,clear,Summer
1432,507,80,256,heavy,stormy,Winter
1433,275,50,80,light,stormy,Spring
1434,65,16,38,heavy,rainy,Spring
1435,396,11,35,heavy,stormy,Spring
1436,253,51,98,heavy,cloudy,Summer
1437,11,87,104,light,rainy,Winter
1438,246,29,46,heavy,clear,Spring
1439,427,75,120,light,stormy,Summer
1440,485,31,37,light,rainy,Winter
1441,937,100,240,moderate,stormy,Summer
1442,119,9,9,light,cloudy,Winter
1443,688,27,32,light,rainy,Winter
1444,560,46,110,moderate,stormy,Spring
1445,866,12,19,light,stormy,Fall
1446,124,83,133,light,stormy,Summer
1447,333,68,218,heavy,stormy,Winter
1448,65,19,46,moderate,stormy,Summer
1449,174,25,45,moderate,rainy,Fall
1450,241,89,142,light,stormy,Fall
1451,47,86,165,heavy,cloudy,Summer
1452,55,29,70,heavy,rainy,Summer
1453,787,29,70,heavy,rainy,Spring
1454,527,18,43,heavy,rainy,Spring
1455,86,40,48,moderate,clear,Spring
1456,655,41,49,moderate,clear,Spring
1457,147,56,67,moderate,clear,Summer
1458,646,34,54,light,stormy,Winter
1459,222,75,60,light,clear,Fall
1460,978,41,131,heavy,stormy,Summer
1461,914,47,75,light,stormy,Fall
1462,930,80,256,heavy,stormy,Winter
1463,225,47,56,moderate,clear,Fall
1464,353,57,68,light,rainy,Spring
1465,167,37,89,moderate,stormy,Fall
1466,239,6,10,heavy,clear,Fall
1467,436,46,37,light,clear,Winter
1468,208,37,30,light,clear,Summer
1469,256,62,99,light,stormy,Winter
1470,551,6,14,heavy,rainy,Fall
1471,931,83,199,heavy,rainy,Fall
1472,340,103,165,light,stormy,Spring
1473,927,86,206,moderate,stormy,Spring
1474,523,76,182,heavy,rainy,Winter
1475,566,42,50,light,rainy,Winter
1476,39,37,44,light,rainy,Winter
1477,4,43,138,heavy,stormy,Fall
1478,247,30,54,moderate,rainy,Spring
1479,162,90,144,light,stormy,Winter
1480,986,35,50,moderate,cloudy,Summer
1481,937,93,112,moderate,clear,Winter
1482,821,9,16,moderate,rainy,Spring
1483,323,8,15,heavy,cloudy,Fall
1484,547,22,53,moderate,stormy,Winter
1485,680,85,163,heavy,cloudy,Winter
1486,400,20,24,moderate,clear,Fall
1487,266,93,223,moderate,stormy,Spring
1488,584,89,107,light,rainy,Winter
1489,519,5,4,light,clear,Summer
1490,366,8,19,moderate,stormy,Spring
1491,72,57,46,light,clear,Summer
1492,112,94,169,moderate,rainy,Summer
1493,939,98,94,light,cloudy,Summer
1494,607,90,108,light,rainy,Winter
1495,808,38,122,heavy,stormy,Summer
1496,665,92,221,moderate,stormy,Winter
1497,942,33,106,heavy,stormy,Summer
1498,230,85,204,heavy,rainy,Winter
1499,488,86,206,heavy,rainy,Summer
1500,692,8,13,light,stormy,Spring
1501,453,8,6,light,clear,Winter
1502,385,92,88,light,cloudy,Fall
1503,861,90,216,heavy,rainy,Spring
1504,146,58,84,moderate,cloudy,Spring
1505,886,14,20,moderate,cloudy,Summer
1506,173,42,134,heavy,stormy,Winter
1507,636,34,41,light,rainy,Summer
1508,915,88,169,heavy,cloudy,Summer
1509,843,52,94,moderate,rainy,Fall
1510,19,43,103,moderate,stormy,Spring
1511,156,27,52,heavy,cloudy,Winter
1512,332,77,246,heavy,stormy,Fall
1513,421,76,243,heavy,stormy,Spring
1514,818,99,158,heavy,clear,Fall
1515,607,5,7,moderate,cloudy,Winter
1516,468,76,91,moderate,clear,Summer
1517,105,35,56,light,stormy,Fall
1518,922,20,48,heavy,rainy,Spring
1519,482,84,134,light,stormy,Spring
1520,418,66,106,light,stormy,Fall
1521,247,69,166,moderate,stormy,Winter
1522,766,45,86,heavy,cloudy,Spring
1523,830,44,63,moderate,cloudy,Fall
1524,15,43,52,light,rainy,Fall
1525,922,65,52,light,clear,Summer
1526,793,52,75,moderate,cloudy,Spring
1527,928,57,91,heavy,clear,Fall
1528,817,94,75,light,clear,Summer
1529,728,44,79,moderate,rainy,Summer
1530,931,104,125,light,rainy,Winter
1531,391,24,38,heavy,clear,Summer
1532,918,83,100,moderate,clear,Spring
1533,383,60,144,heavy,rainy,Summer
1534,214,10,16,light,stormy,Winter
1535,868,8,10,moderate,clear,Fall
1536,233,88,70,light,clear,Spring
1537,878,9,11,light,rainy,Fall
1538,524,99,238,moderate,stormy,Fall
1539,331,29,93,heavy,stormy,Summer
1540,737,76,137,moderate,rainy,Spring
1541,182,7,11,heavy,clear,Summer
1542,410,69,99,moderate,cloudy,Spring
1543,47,95,152,light,stormy,Fall
1544,489,23,37,heavy,clear,Summer
1545,150,62,60,light,cloudy,Spring
1546,208,15,27,moderate,rainy,Spring
1547,884,30,96,heavy,stormy,Winter
1548,990,84,134,heavy,clear,Spring
1549,281,46,110,moderate,stormy,Fall
1550,419,75,72,light,cloudy,Summer
1551,349,97,116,moderate,clear,Spring
1552,335,69,132,heavy,cloudy,Summer
1553,720,12,19,heavy,clear,Summer
1554,727,29,46,light,stormy,Fall
1555,849,91,175,heavy,cloudy,Winter
1556,192,49,88,moderate,rainy,Spring
1557,65,32,77,moderate,stormy,Spring
1558,779,78,62,light,clear,Fall
1559,486,96,154,heavy,clear,Summer
1560,37,37,71,heavy,cloudy,Spring
1561,259,70,134,heavy,cloudy,Fall
1562,935,39,37,light,cloudy,Summer
1563,481,73,234,heavy,stormy,Winter
1564,367,96,173,moderate,rainy,Spring
1565,702,66,106,heavy,clear,Fall
1566,225,104,125,light,rainy,Winter
1567,4,72,104,moderate,cloudy,Spring
1568,252,70,84,moderate,clear,Summer
1569,315,58,93,light,stormy,Winter
1570,399,68,122,moderate,rainy,Spring
1571,507,100,120,light,rainy,Spring
1572,671,11,13,light,rainy,Fall
1573,791,75,90,moderate,clear,Fall
1574,80,43,77,moderate,rainy,Winter
1575,966,40,72,moderate,rainy,Summer
1576,705,44,53,light,rainy,Fall
1577,214,20,24,light,rainy,Summer
1578,981,70,134,heavy,cloudy,Spring
1579,108,19,30,heavy,clear,Spring
1580,872,46,83,moderate,rainy,Spring
1581,126,44,42,light,cloudy,Winter
1582,46,49,94,heavy,cloudy,Winter
1583,242,75,120,light,stormy,Spring
1584,17,13,25,heavy,cloudy,Winter
1585,167,29,46,heavy,clear,Winter
1586,777,97,233,moderate,stormy,Summer
1587,788,34,82,heavy,rainy,Summer
1588,937,89,128,moderate,cloudy,Winter
1589,615,92,132,moderate,cloudy,Winter
1590,6,59,106,moderate,rainy,Fall
1591,292,74,107,moderate,cloudy,Spring
1592,801,34,27,light,clear,Summer
1593,509,25,36,moderate,cloudy,Winter
1594,879,73,117,light,stormy,Winter
1595,743,97,233,heavy,rainy,Spring
1596,955,62,149,heavy,rainy,Summer
1597,605,49,47,light,cloudy,Spring
1598,886,49,39,light,clear,Spring
1599,208,7,6,light,clear,Fall
1600,320,78,187,moderate,stormy,Fall
1601,713,54,130,moderate,stormy,Winter
1602,649,19,46,heavy,rainy,Fall
1603,788,14,45,heavy,stormy,Spring
1604,498,11,20,moderate,rainy,Fall
1605,934,68,65,light,cloudy,Winter
1606,993,77,62,light,clear,Winter
1607,776,60,48,light,clear,Fall
1608,459,104,250,heavy,rainy,Summer
1609,923,38,91,moderate,stormy,Fall
1610,934,61,146,moderate,stormy,Winter
1611,649,57,91,heavy,clear,Spring
1612,452,73,131,moderate,rainy,Summer
1613,661,91,73,light,clear,Summer
1614,781,83,159,heavy,cloudy,Winter
1615,28,35,42,light,rainy,Fall
1616,991,67,64,light,cloudy,Summer
1617,813,15,24,light,stormy,Fall
1618,364,19,27,moderate,cloudy,Winter
1619,872,79,63,light,clear,Summer
1620,570,100,120,moderate,clear,Summer
1621,154,48,77,light,stormy,Summer
1622,104,21,34,light,stormy,Summer
1623,971,65,52,light,clear,Summer
1624,44,52,83,light,stormy,Fall
1625,259,103,124,light,rainy,Spring
1626,284,47,56,light,rainy,Summer
1627,483,35,112,heavy,stormy,Winter
1628,996,59,71,moderate,clear,Fall
1629,793,32,31,light,cloudy,Fall
1630,301,40,58,moderate,cloudy,Summer
1631,502,42,101,moderate,stormy,Spring
1632,604,60,96,light,stormy,Fall
1633,994,56,134,moderate,stormy,Summer
1634,624,26,42,light,stormy,Summer
1635,549,70,112,light,stormy,Spring
1636,161,50,60,light,rainy,Winter
1637,881,17,41,heavy,rainy,Spring
1638,422,35,56,heavy,clear,Winter
1639,403,52,94,moderate,rainy,Summer
1640,431,74,118,heavy,clear,Fall
1641,186,47,56,moderate,clear,Winter
1642,391,88,158,moderate,rainy,Fall
1643,191,19,23,moderate,clear,Winter
1644,182,5,8,heavy,clear,Winter
1645,550,36,58,light,stormy,Summer
1646,811,59,71,moderate,clear,Summer
1647,334,60,48,light,clear,Summer
1648,377,30,72,moderate,stormy,Winter
1649,796,52,62,light,rainy,Fall
1650,959,87,209,moderate,stormy,Spring
1651,172,92,294,heavy,stormy,Spring
1652,13,34,54,light,stormy,Winter
1653,855,93,223,moderate,stormy,Summer
1654,786,100,160,light,stormy,Winter
1655,435,91,73,light,clear,Fall
1656,91,8,6,light,clear,Fall
1657,799,95,91,light,cloudy,Summer
1658,803,74,237,heavy,stormy,Summer
1659,17,25,48,heavy,cloudy,Fall
1660,610,22,32,moderate,cloudy,Winter
1661,204,96,184,heavy,cloudy,Winter
1662,469,103,165,heavy,clear,Summer
1663,970,87,104,moderate,clear,Fall
1664,745,54,97,moderate,rainy,Summer
1665,330,76,61,light,clear,Winter
1666,537,82,148,moderate,rainy,Summer
1667,878,60,144,heavy,rainy,Summer
1668,119,9,14,heavy,clear,Fall
1669,297,8,12,moderate,cloudy,Summer
1670,291,7,6,light,clear,Summer
1671,551,95,228,moderate,stormy,Fall
1672,149,64,154,heavy,rainy,Winter
1673,680,50,72,moderate,cloudy,Summer
1674,460,29,70,moderate,stormy,Fall
1675,62,69,166,heavy,rainy,Winter
1676,660,35,84,moderate,stormy,Spring
1677,257,5,12,heavy,rainy,Fall
1678,578,52,125,heavy,rainy,Spring
1679,35,56,90,light,stormy,Spring
1680,487,53,95,moderate,rainy,Spring
1681,321,22,70,heavy,stormy,Spring
1682,62,38,61,light,stormy,Fall
1683,22,35,34,light,cloudy,Fall
1684,311,21,30,moderate,cloudy,Spring
1685,52,11,35,heavy,stormy,Fall
1686,607,87,125,moderate,cloudy,Winter
