date,product_id,units_sold,revenue,discount_applied,promotion_type,season
2025-01-02,248,96,29242.56,0,sale,Spring
2025-01-02,497,8,6394.56,0,bundle,Fall
2025-01-02,982,33,31777.68,0,clearance,Winter
2025-01-02,723,99,2876.94,0,sale,Summer
2025-01-02,727,94,86281.66,0,bundle,Summer
2025-01-02,846,26,2804.1,0,none,Spring
2025-01-02,163,89,14196.39,0,none,Fall
2025-01-02,914,43,1465.44,0,sale,Winter
2025-01-02,902,81,13723.83,0,sale,Summer
2025-01-02,193,11,450.45,0,bundle,Fall
2025-01-02,169,9,2099.79,0,sale,Summer
2025-01-02,557,44,39610.12,0,bundle,Spring
2025-01-02,777,66,31991.52,0,bundle,Summer
2025-01-02,845,31,27397.49,0,clearance,Summer
2025-01-02,932,66,59392.08,0,clearance,Summer
2025-01-02,813,78,5388.24,0,none,Winter
2025-01-02,548,86,11640.96,0.27,bundle,Spring
2025-01-02,441,35,19488.35,0,sale,Summer
2025-01-02,869,99,70674.12,0,clearance,Fall
2025-01-02,367,29,9497.21,0.23,clearance,Fall
2025-01-02,26,44,32571.88,0.09,clearance,Summer
2025-01-02,82,37,30036.6,0,clearance,Summer
2025-01-02,811,13,4433.52,0.12,clearance,Summer
2025-01-02,76,10,7535,0,bundle,Winter
2025-01-02,650,2,1349.76,0,none,Fall
2025-01-02,127,62,16752.4,0,clearance,Summer
2025-01-02,700,28,24232.32,0,clearance,Summer
2025-01-02,196,69,55613.31,0,bundle,Summer
2025-01-02,302,82,52960.52,0.19,bundle,Winter
2025-01-02,658,43,19997.15,0,sale,Winter
2025-01-02,323,35,24434.55,0.1,bundle,Fall
2025-01-02,261,71,66113.78,0,none,Spring
2025-01-02,45,68,42328.64,0,bundle,Winter
2025-01-03,465,91,74525.36,0,bundle,Fall
2025-01-03,976,98,86119.46,0,bundle,Fall
2025-01-03,300,53,43694.26,0,bundle,Winter
2025-01-03,58,63,62994.33,0,clearance,Summer
2025-01-03,374,65,31240.95,0,clearance,Winter
2025-01-03,797,30,18475.8,0.25,none,Winter
2025-01-03,769,32,21757.44,0,none,Spring
2025-01-03,186,5,1705.7,0,clearance,Spring
2025-01-03,186,61,12208.54,0.07,bundle,Spring
2025-01-03,202,70,66500.7,0,sale,Summer
2025-01-03,43,21,17229.87,0,bundle,Winter
2025-01-03,200,34,16031,0,bundle,Winter
2025-01-03,446,87,55663.47,0,bundle,Summer
2025-01-03,54,15,3008.4,0,clearance,Winter
2025-01-03,827,75,37401.75,0,sale,Spring
2025-01-03,417,88,49111.04,0,none,Summer
2025-01-03,708,99,72935.28,0,none,Spring
2025-01-03,990,49,40872.86,0,bundle,Winter
2025-01-03,621,32,29687.68,0,clearance,Fall
2025-01-03,531,86,22393.54,0,sale,Spring
2025-01-03,638,75,5756.25,0,clearance,Fall
2025-01-03,44,25,2752,0,none,Spring
2025-01-03,464,6,4529.16,0,none,Fall
2025-01-03,596,60,14527.2,0,bundle,Winter
2025-01-03,382,12,11008.2,0,none,Winter
2025-01-03,723,22,22145.42,0.01,sale,Spring
2025-01-03,291,46,41746.84,0,bundle,Summer
2025-01-03,92,44,4413.2,0,clearance,Spring
2025-01-03,315,41,15383.61,0,clearance,Summer
2025-01-03,24,98,66030.44,0,sale,Winter
2025-01-03,352,61,33148.01,0,bundle,Summer
2025-01-03,628,39,29925.09,0,sale,Summer
2025-01-03,626,37,5858.95,0,bundle,Winter
2025-01-03,290,2,526.32,0,none,Summer
2025-01-03,910,53,50571.54,0,clearance,Summer
2025-01-03,768,29,3402.86,0,sale,Summer
2025-01-03,77,97,77923.98,0,sale,Spring
2025-01-03,901,97,60521.21,0,none,Spring
2025-01-03,680,36,1914.48,0.09,none,Winter
2025-01-03,276,1,638.85,0,clearance,Winter
2025-01-03,511,99,3321.45,0,clearance,Summer
2025-01-03,159,67,11773.24,0,none,Fall
2025-01-03,174,69,22208.34,0,sale,Fall
2025-01-03,114,68,58429.68,0,bundle,Summer
2025-01-03,891,94,52525.32,0,none,Spring
2025-01-03,820,61,39498.11,0,none,Fall
2025-01-03,293,77,55490.82,0,sale,Summer
2025-01-03,413,70,29409.1,0.16,clearance,Summer
2025-01-03,219,61,55227.57,0,bundle,Spring
2025-01-03,546,18,8106.66,0,bundle,Fall
2025-01-03,286,13,4116.32,0.18,sale,Summer
2025-01-03,98,47,18268.9,0,bundle,Winter
2025-01-03,807,98,1021.16,0,none,Winter
2025-01-03,253,20,4150.8,0,sale,Spring
2025-01-03,586,41,27877.54,0,sale,Summer
2025-01-03,499,55,52186.2,0.08,none,Spring
2025-01-03,390,44,12142.68,0,bundle,Fall
2025-01-03,944,64,62753.92,0,clearance,Winter
2025-01-03,780,14,7168.7,0,clearance,Summer
2025-01-03,620,45,24922.35,0,clearance,Spring
2025-01-03,317,34,34082.96,0,clearance,Summer
2025-01-03,798,62,47375.44,0,bundle,Fall
2025-01-03,751,98,72588.6,0,none,Winter
2025-01-03,40,4,3715.76,0.03,sale,Winter
2025-01-03,112,47,13648.33,0.19,sale,Fall
2025-01-03,740,63,16026.57,0,sale,Fall
2025-01-03,173,48,48421.44,0,clearance,Winter
2025-01-03,596,4,1661.04,0,sale,Fall
2025-01-03,668,96,3600.96,0,bundle,Spring
2025-01-03,212,97,5890.81,0,clearance,Fall
2025-01-03,839,8,6338.32,0.2,clearance,Summer
2025-01-03,352,4,2576.72,0,sale,Winter
2025-01-03,728,61,28982.32,0,sale,Summer
2025-01-03,852,34,30520.1,0,none,Spring
2025-01-03,673,42,37837.8,0.17,clearance,Summer
2025-01-03,872,92,22788.4,0,none,Spring
2025-01-03,537,84,79434.6,0,none,Spring
2025-01-03,110,99,22311.63,0,bundle,Fall
2025-01-03,266,59,6731.31,0,none,Fall
2025-01-03,740,20,15226.8,0,bundle,Fall
2025-01-03,780,35,16475.55,0,clearance,Winter
2025-01-03,173,16,13602.4,0,bundle,Fall
2025-01-03,535,27,5174.82,0.05,none,Winter
2025-01-03,594,53,6985.93,0,sale,Winter
2025-01-03,883,70,22477,0.2,clearance,Summer
2025-01-03,530,32,28216,0,bundle,Winter
2025-01-03,917,82,7069.22,0,sale,Summer
2025-01-03,434,75,56589,0,clearance,Fall
2025-01-03,650,77,15750.35,0,none,Fall
2025-01-03,478,25,12706,0.21,clearance,Winter
2025-01-03,834,34,11487.58,0,bundle,Fall
2025-01-03,996,98,78284.36,0,bundle,Spring
2025-01-03,95,61,31826.14,0.22,bundle,Winter
2025-01-03,498,64,18558.72,0,none,Spring
2025-01-03,912,84,81947.88,0,sale,Spring
2025-01-03,270,36,28127.16,0,none,Summer
2025-01-03,971,87,3270.33,0,sale,Spring
2025-01-03,745,89,35049.09,0,none,Spring
2025-01-03,435,88,53978.32,0,sale,Winter
2025-01-03,777,74,12070.88,0,clearance,Winter
2025-01-04,943,88,12923.68,0,bundle,Spring
2025-01-04,580,40,3080.4,0.17,sale,Fall
2025-01-04,907,8,3337.04,0,none,Summer
2025-01-04,648,42,36185.94,0.1,none,Fall
2025-01-04,412,90,68667.3,0,bundle,Summer
2025-01-04,977,56,36092.56,0.09,bundle,Spring
2025-01-04,614,27,8798.76,0,none,Winter
2025-01-04,905,94,34500.82,0,none,Spring
2025-01-04,499,1,564.78,0,bundle,Spring
2025-01-04,2,69,47621.04,0,sale,Spring
2025-01-04,35,82,29562.64,0,none,Summer
2025-01-04,4,19,525.54,0,clearance,Fall
2025-01-04,618,52,19762.08,0,clearance,Fall
2025-01-04,918,93,49117.02,0,sale,Fall
2025-01-04,805,93,50162.34,0,none,Summer
2025-01-04,391,39,5996.64,0,clearance,Winter
2025-01-04,463,26,17548.18,0,clearance,Winter
2025-01-04,608,59,24111.53,0.01,none,Summer
2025-01-04,719,100,19335,0,sale,Fall
2025-01-04,988,82,51647.7,0,bundle,Summer
2025-01-04,214,72,70749.36,0.12,sale,Summer
2025-01-04,235,60,55501.2,0,sale,Spring
2025-01-04,566,63,12689.46,0,clearance,Spring
2025-01-04,751,26,11400.48,0.03,bundle,Winter
2025-01-04,7,42,9300.48,0,sale,Summer
2025-01-04,350,37,6797.64,0,clearance,Winter
2025-01-04,427,52,33060.04,0.27,none,Fall
2025-01-04,27,30,20531.1,0,clearance,Spring
2025-01-04,548,89,69306.08,0.19,bundle,Winter
2025-01-04,69,28,12587.68,0,sale,Winter
2025-01-04,144,48,30289.44,0,bundle,Winter
2025-01-04,371,93,4125.48,0.3,none,Winter
2025-01-04,654,33,6883.47,0,bundle,Spring
2025-01-04,728,85,8418.4,0,none,Spring
2025-01-04,608,69,17501.16,0,sale,Summer
2025-01-04,434,10,6346.5,0,none,Summer
2025-01-04,675,46,13296.76,0,none,Spring
2025-01-04,558,25,19729.75,0,bundle,Summer
2025-01-04,315,23,5131.53,0,none,Winter
2025-01-04,420,65,52553.15,0,sale,Fall
2025-01-04,117,50,29498.5,0,bundle,Winter
2025-01-04,609,73,49502.03,0,clearance,Fall
2025-01-04,12,63,49122.99,0.23,sale,Spring
2025-01-04,133,77,74713.1,0,sale,Summer
2025-01-04,807,99,41450.31,0,none,Winter
2025-01-04,919,6,4136.16,0,none,Summer
2025-01-04,178,34,30806.38,0,bundle,Fall
2025-01-04,398,20,6809.4,0,none,Summer
2025-01-04,857,24,16747.92,0,sale,Fall
2025-01-04,443,1,899.3,0.3,none,Summer
2025-01-04,949,34,8748.54,0,sale,Summer
2025-01-04,563,61,977.22,0,clearance,Winter
2025-01-04,923,33,18592.53,0,sale,Winter
2025-01-04,796,18,4265.28,0,bundle,Summer
2025-01-04,362,16,4979.84,0,bundle,Winter
2025-01-04,609,74,73336.96,0.1,clearance,Winter
2025-01-04,343,17,9438.74,0.08,bundle,Fall
2025-01-04,510,9,3955.59,0,bundle,Fall
2025-01-04,410,37,13598.24,0,clearance,Fall
2025-01-04,597,86,78653.88,0,none,Winter
2025-01-04,738,41,13823.56,0,sale,Summer
2025-01-04,284,35,7292.6,0.25,bundle,Winter
2025-01-04,2,14,2511.88,0,clearance,Fall
2025-01-04,222,38,35167.48,0.16,bundle,Fall
2025-01-04,545,56,16392.32,0,sale,Winter
2025-01-04,226,73,45329.35,0,sale,Spring
2025-01-04,255,26,4934.54,0,sale,Winter
2025-01-04,914,5,58.65,0,bundle,Winter
2025-01-04,967,47,23344.9,0.28,sale,Spring
2025-01-04,862,50,8064.5,0,none,Spring
2025-01-04,201,45,12116.25,0,bundle,Winter
2025-01-04,961,42,16375.38,0,clearance,Spring
2025-01-04,718,33,9270.69,0,none,Winter
2025-01-04,1,35,9056.95,0,sale,Summer
2025-01-04,549,100,54232,0,sale,Winter
2025-01-04,292,52,20739.68,0.16,sale,Fall
2025-01-04,199,66,3024.78,0,none,Winter
2025-01-04,402,50,19927.5,0,bundle,Winter
2025-01-04,99,7,3591.84,0,bundle,Spring
2025-01-04,174,7,6614.93,0,none,Summer
2025-01-04,684,32,7453.76,0.1,clearance,Spring
2025-01-04,614,93,61288.86,0,none,Summer
2025-01-04,656,2,1977.76,0,none,Winter
2025-01-04,633,84,33552.12,0,sale,Winter
2025-01-04,80,1,795.78,0,clearance,Summer
2025-01-04,102,32,30549.76,0.27,bundle,Fall
2025-01-04,774,96,85758.72,0,sale,Fall
2025-01-04,757,18,11028.96,0.3,none,Winter
2025-01-04,223,13,6431.1,0,none,Summer
2025-01-04,407,100,82647,0,sale,Winter
2025-01-04,604,2,1435.6,0,sale,Fall
2025-01-04,618,59,38779.52,0,bundle,Spring
2025-01-04,869,27,19697.85,0,bundle,Fall
2025-01-04,206,11,9780.87,0,bundle,Spring
2025-01-04,908,3,585.3,0,bundle,Fall
2025-01-04,297,95,64876.45,0,clearance,Winter
2025-01-04,865,11,1518.66,0.18,none,Summer
2025-01-04,14,39,1247.61,0,none,Spring
2025-01-04,579,22,8951.58,0,clearance,Fall
2025-01-04,190,92,77797.04,0,clearance,Spring
2025-01-05,548,32,21450.56,0,bundle,Fall
2025-01-05,125,19,14700.3,0,bundle,Summer
2025-01-05,972,57,29483.82,0,clearance,Fall
2025-01-05,380,33,19089.18,0,clearance,Winter
2025-01-05,994,30,23451.9,0,bundle,Summer
2025-01-05,266,95,77281.55,0,bundle,Winter
2025-01-05,556,71,45227.71,0,sale,Summer
2025-01-05,676,89,54795.52,0,sale,Summer
2025-01-05,650,2,435.64,0.02,none,Winter
2025-01-05,387,37,15592.17,0,none,Fall
2025-01-05,342,59,56667.14,0,none,Fall
2025-01-05,288,58,57138.7,0,sale,Fall
2025-01-05,972,19,14717.59,0.19,none,Summer
2025-01-05,29,31,25883.76,0,clearance,Winter
2025-01-05,291,80,7733.6,0,clearance,Winter
2025-01-05,984,27,14022.18,0.23,clearance,Winter
2025-01-05,44,74,19197.82,0.2,bundle,Winter
2025-01-05,220,30,7564.8,0,sale,Winter
2025-01-05,848,40,14046.8,0.1,clearance,Spring
2025-01-05,468,77,34549.13,0,bundle,Fall
2025-01-05,775,72,5268.24,0,none,Summer
2025-01-05,867,62,37296.72,0.05,sale,Fall
2025-01-05,846,55,34273.8,0,sale,Fall
2025-01-05,212,92,47079.16,0,sale,Summer
2025-01-05,252,41,38051.69,0,sale,Fall
2025-01-05,927,11,9223.61,0,sale,Winter
2025-01-05,255,4,3070.72,0,sale,Spring
2025-01-05,448,2,1409.84,0,clearance,Winter
2025-01-05,295,37,19657.36,0,none,Spring
2025-01-05,297,90,31658.4,0,clearance,Fall
2025-01-05,520,43,28929.97,0,bundle,Fall
2025-01-05,790,39,35193.6,0,bundle,Summer
2025-01-05,167,46,24206.58,0,clearance,Spring
2025-01-05,629,73,58146.69,0,sale,Summer
2025-01-05,742,97,96924.34,0.2,sale,Winter
2025-01-05,960,11,2924.02,0.01,sale,Summer
2025-01-05,917,23,7155.76,0,clearance,Summer
2025-01-05,548,49,11271.47,0,clearance,Summer
2025-01-05,528,84,47228.16,0.02,none,Winter
2025-01-05,853,72,72015.12,0,bundle,Spring
2025-01-05,906,8,2181.44,0,sale,Winter
2025-01-05,121,94,94472.82,0,clearance,Summer
2025-01-05,546,47,45235.62,0,none,Winter
2025-01-05,682,41,36078.36,0,sale,Winter
2025-01-05,252,57,15265.17,0,none,Winter
2025-01-05,46,97,9933.77,0,sale,Spring
2025-01-05,893,22,6436.54,0,bundle,Fall
2025-01-05,115,29,19121.73,0,clearance,Winter
2025-01-05,504,14,3416.14,0.13,clearance,Spring
2025-01-05,795,25,9354.75,0,bundle,Summer
2025-01-05,354,60,14437.8,0,clearance,Fall
2025-01-05,243,83,33521.21,0.19,none,Spring
2025-01-05,324,25,17047,0,none,Spring
2025-01-05,18,85,37545.35,0,sale,Spring
2025-01-05,138,42,23846.34,0,sale,Summer
2025-01-05,384,15,8011.05,0,bundle,Spring
2025-01-05,519,84,72666.72,0,sale,Summer
2025-01-05,458,17,12814.6,0,sale,Summer
2025-01-05,526,78,54114.84,0.13,bundle,Fall
2025-01-05,79,33,8798.79,0,clearance,Fall
2025-01-05,692,54,19360.62,0,sale,Spring
2025-01-05,370,57,8490.72,0,bundle,Summer
2025-01-05,454,47,10960.4,0,sale,Winter
2025-01-05,145,10,5586.9,0,bundle,Summer
2025-01-05,842,61,9811.24,0,none,Summer
2025-01-05,574,82,26679.52,0,sale,Spring
2025-01-05,934,95,43136.65,0,sale,Fall
2025-01-05,212,48,17774.4,0,sale,Fall
2025-01-05,188,93,47104.5,0,none,Spring
2025-01-05,675,17,2402.61,0,sale,Winter
2025-01-05,633,35,24876.25,0,none,Winter
2025-01-05,411,19,7246.98,0,bundle,Spring
2025-01-05,839,65,11658.4,0,clearance,Spring
2025-01-05,329,79,6293.93,0.09,none,Spring
2025-01-05,618,32,25291.84,0,bundle,Summer
2025-01-05,199,54,53024.22,0.21,bundle,Winter
2025-01-05,373,62,52833.3,0,sale,Summer
2025-01-05,684,41,33934.06,0,sale,Spring
2025-01-05,482,10,9500.3,0,sale,Spring
2025-01-05,178,39,38440.35,0.17,none,Summer
2025-01-05,648,70,64640.8,0,bundle,Fall
2025-01-05,551,15,1257.45,0,bundle,Winter
2025-01-05,315,46,13336.78,0,none,Spring
2025-01-05,362,3,47.85,0,bundle,Spring
2025-01-05,105,34,8830.14,0.28,sale,Winter
2025-01-05,243,93,39925.83,0,none,Fall
2025-01-05,760,17,15833.97,0,bundle,Spring
2025-01-05,583,47,38673.48,0,none,Spring
2025-01-05,598,8,6208.4,0,sale,Winter
2025-01-05,150,54,30057.48,0,sale,Spring
2025-01-05,302,92,80404.32,0,bundle,Summer
2025-01-05,718,11,10225.38,0,clearance,Winter
2025-01-05,644,12,3813.36,0,clearance,Fall
2025-01-05,516,93,64274.16,0,sale,Spring
2025-01-05,19,49,2670.5,0,none,Winter
2025-01-05,796,17,11581.08,0.09,sale,Spring
2025-01-05,499,79,44040.92,0,bundle,Fall
2025-01-05,915,4,1853.52,0.27,bundle,Summer
2025-01-05,693,18,16772.04,0,sale,Spring
2025-01-05,845,86,72719.02,0,bundle,Spring
2025-01-06,848,98,16654.12,0,sale,Winter
2025-01-06,991,77,26263.93,0,sale,Fall
2025-01-06,328,83,43753.45,0,clearance,Summer
2025-01-06,723,39,20944.17,0.08,bundle,Summer
2025-01-06,65,12,530.88,0,none,Fall
2025-01-06,467,70,58813.3,0.22,sale,Winter
2025-01-06,480,11,1109.79,0,sale,Spring
2025-01-06,500,67,16790.2,0,clearance,Spring
2025-01-06,963,30,24824.1,0,clearance,Fall
2025-01-06,394,89,18442.58,0,bundle,Spring
2025-01-06,687,5,899.8,0,clearance,Spring
2025-01-06,193,83,29469.98,0,sale,Summer
2025-01-06,670,67,43389.2,0,bundle,Summer
2025-01-06,289,12,4463.16,0.01,sale,Fall
2025-01-06,48,77,72801.19,0,sale,Summer
2025-01-06,871,28,17890.32,0.3,sale,Spring
2025-01-06,31,14,12000.1,0,sale,Summer
2025-01-06,200,11,3196.16,0,sale,Summer
2025-01-06,521,1,702.78,0,bundle,Summer
2025-01-06,826,73,43502.16,0,none,Summer
2025-01-06,419,48,44486.4,0,sale,Fall
2025-01-06,129,83,46168.75,0,clearance,Winter
2025-01-06,924,31,26315.59,0.29,bundle,Spring
2025-01-06,109,100,88544,0,bundle,Summer
2025-01-06,815,42,4736.76,0.29,clearance,Spring
2025-01-06,844,51,26645.46,0,clearance,Summer
2025-01-06,574,56,4547.76,0,sale,Fall
2025-01-06,884,28,4074.84,0,sale,Winter
2025-01-06,151,98,10140.06,0,clearance,Summer
2025-01-06,217,63,26447.4,0,none,Winter
2025-01-06,905,50,41948.5,0,clearance,Summer
2025-01-06,124,7,1405.74,0.16,clearance,Spring
2025-01-06,375,100,78282,0,bundle,Fall
2025-01-06,738,80,80383.2,0,clearance,Winter
2025-01-06,265,68,44773.92,0,sale,Fall
2025-01-06,746,90,25836.3,0,bundle,Fall
2025-01-06,58,88,37756.4,0,none,Summer
2025-01-06,620,2,1990.5,0,none,Winter
2025-01-06,667,51,11027.73,0,clearance,Spring
2025-01-06,839,62,9030.3,0.29,sale,Summer
2025-01-06,927,68,802.4,0,none,Spring
2025-01-06,281,58,9027.7,0,sale,Summer
2025-01-06,691,86,45574.84,0.24,bundle,Summer
2025-01-06,482,48,39614.88,0,sale,Summer
2025-01-06,652,18,459.18,0,bundle,Spring
2025-01-06,375,44,19479.24,0,clearance,Fall
2025-01-06,710,64,4702.72,0,bundle,Fall
